epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784445432986348624,0,123675,35,2917,13801,17,8
1784445432986348624,1,121166,37,2857,13801,17,8
1784445433036361944,0,123675,35,2917,13801,17,8
1784445433036361944,1,121166,37,2857,13801,17,8
1784445433086350973,0,123675,35,2917,13801,17,8
1784445433086350973,1,121166,37,2857,13801,17,8
1784445433136361665,0,123675,35,2917,13801,17,8
1784445433136361665,1,121250,37,2865,13801,17,8
1784445433186349074,0,123675,35,2917,13801,17,8
1784445433186349074,1,121250,37,2865,13801,17,8
1784445433236358690,0,123938,35,2917,13801,18,9
1784445433236358690,1,121250,37,2865,13801,17,8
1784445433286348418,0,123938,35,2917,13801,18,9
1784445433286348418,1,121250,37,2865,13801,17,8
1784445433336359324,0,123938,35,2917,13801,18,9
1784445433336359324,1,121250,37,2865,13801,17,8
1784445433386352527,0,123938,35,2917,13801,18,9
1784445433386352527,1,121250,37,2865,13801,17,8
1784445433436358867,0,123938,35,2917,13801,18,9
1784445433436358867,1,121250,37,2865,13801,17,8
1784445433486348420,0,123938,35,2917,13801,18,9
1784445433486348420,1,121250,37,2865,13801,17,8
1784445433536362134,0,123938,35,2917,13801,18,9
1784445433536362134,1,121250,37,2865,13801,17,8
1784445433586349522,0,123938,35,2917,13801,18,9
1784445433586349522,1,121250,37,2865,13801,17,8
1784445433636360262,0,123938,35,2917,13801,18,9
1784445433636360262,1,121338,37,2865,13801,17,9
1784445433686349389,0,123938,35,2917,13801,18,9
1784445433686349389,1,121338,37,2865,13801,17,9
1784445433736359437,0,124290,35,2917,13801,17,8
1784445433736359437,1,121338,37,2865,13801,17,9
1784445433786351726,0,124290,35,2917,13801,17,8
1784445433786351726,1,121338,37,2865,13801,17,9
1784445433836358858,0,124290,35,2917,13801,17,8
1784445433836358858,1,121338,37,2865,13801,17,9
1784445433886351482,0,124290,35,2917,13801,17,8
1784445433886351482,1,121338,37,2865,13801,17,9
1784445433936358813,0,124290,35,2917,13801,17,8
1784445433936358813,1,121338,37,2865,13801,17,9
1784445433986348643,0,124290,35,2917,13801,17,8
1784445433986348643,1,121338,37,2865,13801,17,9
1784445434036358736,0,124290,35,2917,13801,17,8
1784445434036358736,1,121338,37,2865,13801,17,9
1784445434086362131,0,124290,35,2917,13801,17,8
1784445434086362131,1,121338,37,2865,13801,17,9
1784445434136360953,0,124290,35,2917,13801,17,8
