block,completion_tokens,dispatch_first,finish_reason,format,phase,physical_gpu,prompt_tokens,request_end_ns,request_index,request_start_ns,session_end_ns,session_start_ns,total_tokens
8,256,GPTQ,length,GPTQ,2,0,23,1784445749474192944,3,1784445732105002016,1784445749474873112,1784445732103894047,279
8,256,GPTQ,length,GPTQ,2,0,19,1784445749474494094,4,1784445732105289774,1784445749474873112,1784445732103894047,275
8,256,GPTQ,length,GPTQ,2,0,24,1784445749474567705,5,1784445732105577332,1784445749474873112,1784445732103894047,280
8,256,GPTQ,length,GPTQ,2,0,21,1784445749473805867,6,1784445732105815506,1784445749474873112,1784445732103894047,277
8,256,GPTQ,length,GPTQ,2,0,27,1784445749474087503,7,1784445732106049300,1784445749474873112,1784445732103894047,283
9,256,AWQ,length,AWQ,2,1,31,1784445767702825252,0,1784445750475513300,1784445767705943474,1784445750475271555,287
9,256,AWQ,length,AWQ,2,1,27,1784445767705522250,1,1784445750475801494,1784445767705943474,1784445750475271555,283
9,256,AWQ,length,AWQ,2,1,29,1784445767704891849,2,1784445750476071083,1784445767705943474,1784445750475271555,285
9,256,AWQ,length,AWQ,2,1,23,1784445767705194081,3,1784445750476329996,1784445767705943474,1784445750475271555,279
9,256,AWQ,length,AWQ,2,1,19,1784445767705582744,4,1784445750476624031,1784445767705943474,1784445750475271555,275
9,256,AWQ,length,AWQ,2,1,24,1784445767705373679,5,1784445750476873106,1784445767705943474,1784445750475271555,280
9,256,AWQ,length,AWQ,2,1,21,1784445767705433496,6,1784445750477221696,1784445767705943474,1784445750475271555,277
9,256,AWQ,length,AWQ,2,1,27,1784445767705640705,7,1784445750477505535,1784445767705943474,1784445750475271555,283
9,256,AWQ,length,GPTQ,2,0,31,1784445767984969689,0,1784445750625587239,1784445767987638704,1784445750625448757,287
9,256,AWQ,length,GPTQ,2,0,27,1784445767987326475,1,1784445750625815970,1784445767987638704,1784445750625448757,283
9,256,AWQ,length,GPTQ,2,0,29,1784445767987037509,2,1784445750626059303,1784445767987638704,1784445750625448757,285
9,256,AWQ,length,GPTQ,2,0,23,1784445767986894873,3,1784445750626324309,1784445767987638704,1784445750625448757,279
9,256,AWQ,length,GPTQ,2,0,19,1784445767986524177,4,1784445750626648625,1784445767987638704,1784445750625448757,275
9,256,AWQ,length,GPTQ,2,0,24,1784445767986969652,5,1784445750627014048,1784445767987638704,1784445750625448757,280
9,256,AWQ,length,GPTQ,2,0,21,1784445767987265168,6,1784445750627226549,1784445767987638704,1784445750625448757,277
9,256,AWQ,length,GPTQ,2,0,27,1784445767986822046,7,1784445750627524013,1784445767987638704,1784445750625448757,283
10,256,GPTQ,length,AWQ,2,1,31,1784445786350720799,0,1784445769138225534,1784445786353659963,1784445769138110498,287
10,256,GPTQ,length,AWQ,2,1,27,1784445786353359061,1,1784445769138428652,1784445786353659963,1784445769138110498,283
10,256,GPTQ,length,AWQ,2,1,29,1784445786353039466,2,1784445769138679981,1784445786353659963,1784445769138110498,285
10,256,GPTQ,length,AWQ,2,1,23,1784445786353099279,3,1784445769138954110,1784445786353659963,1784445769138110498,279
10,256,GPTQ,length,AWQ,2,1,19,1784445786352838493,4,1784445769139305028,1784445786353659963,1784445769138110498,275
10,256,GPTQ,length,AWQ,2,1,24,1784445786353237060,5,1784445769139601183,1784445786353659963,1784445769138110498,280
10,256,GPTQ,length,AWQ,2,1,21,1784445786353284075,6,1784445769139823152,1784445786353659963,1784445769138110498,277
10,256,GPTQ,length,AWQ,2,1,27,1784445786353415365,7,1784445769140150069,1784445786353659963,1784445769138110498,283
10,256,GPTQ,length,GPTQ,2,0,31,1784445786319447023,0,1784445768988320292,1784445786322558893,1784445768988161329,287
10,256,GPTQ,length,GPTQ,2,0,27,1784445786322249029,1,1784445768988615563,1784445786322558893,1784445768988161329,283
10,256,GPTQ,length,GPTQ,2,0,29,1784445786322131141,2,1784445768988870513,1784445786322558893,1784445768988161329,285
10,256,GPTQ,length,GPTQ,2,0,23,1784445786322061563,3,1784445768989112952,1784445786322558893,1784445768988161329,279
10,256,GPTQ,length,GPTQ,2,0,19,1784445786322189796,4,1784445768989348579,1784445786322558893,1784445768988161329,275
10,256,GPTQ,length,GPTQ,2,0,24,1784445786321540669,5,1784445768989698706,1784445786322558893,1784445768988161329,280
10,256,GPTQ,length,GPTQ,2,0,21,1784445786321338966,6,1784445768990041066,1784445786322558893,1784445768988161329,277
10,256,GPTQ,length,GPTQ,2,0,27,1784445786321848691,7,1784445768990291179,1784445786322558893,1784445768988161329,283
