block,completion_tokens,dispatch_first,finish_reason,format,phase,physical_gpu,prompt_tokens,request_end_ns,request_index,request_start_ns,session_end_ns,session_start_ns,total_tokens
8,512,GPTQ,length,AWQ,2,1,21,1784446694639433646,6,1784446660062161062,1784446694640084406,1784446660060462157,533
8,512,GPTQ,length,AWQ,2,1,27,1784446694639737579,7,1784446660062408999,1784446694640084406,1784446660060462157,539
8,512,GPTQ,length,GPTQ,2,0,31,1784446694441600764,0,1784446659910672906,1784446694444897793,1784446659910516195,543
8,512,GPTQ,length,GPTQ,2,0,27,1784446694444525222,1,1784446659910940147,1784446694444897793,1784446659910516195,539
8,512,GPTQ,length,GPTQ,2,0,29,1784446694444462434,2,1784446659911197242,1784446694444897793,1784446659910516195,541
8,512,GPTQ,length,GPTQ,2,0,23,1784446694443791679,3,1784446659911455796,1784446694444897793,1784446659910516195,535
8,512,GPTQ,length,GPTQ,2,0,19,1784446694444294136,4,1784446659911768187,1784446694444897793,1784446659910516195,531
8,512,GPTQ,length,GPTQ,2,0,24,1784446694444370610,5,1784446659912020509,1784446694444897793,1784446659910516195,536
8,512,GPTQ,length,GPTQ,2,0,21,1784446694444085160,6,1784446659912272305,1784446694444897793,1784446659910516195,533
8,512,GPTQ,length,GPTQ,2,0,27,1784446694444583875,7,1784446659912566224,1784446694444897793,1784446659910516195,539
9,512,AWQ,length,AWQ,2,1,31,1784446730404904756,0,1784446695640701853,1784446730408170054,1784446695640459080,543
9,512,AWQ,length,AWQ,2,1,27,1784446730407712437,1,1784446695640952085,1784446730408170054,1784446695640459080,539
9,512,AWQ,length,AWQ,2,1,29,1784446730407508573,2,1784446695641193871,1784446730408170054,1784446695640459080,541
9,512,AWQ,length,AWQ,2,1,23,1784446730407851179,3,1784446695641401605,1784446730408170054,1784446695640459080,535
9,512,AWQ,length,AWQ,2,1,19,1784446730407570060,4,1784446695641656042,1784446730408170054,1784446695640459080,531
9,512,AWQ,length,AWQ,2,1,24,1784446730407771494,5,1784446695641987445,1784446730408170054,1784446695640459080,536
9,512,AWQ,length,AWQ,2,1,21,1784446730406929416,6,1784446695642337220,1784446730408170054,1784446695640459080,533
9,512,AWQ,length,AWQ,2,1,27,1784446730407647621,7,1784446695642574620,1784446730408170054,1784446695640459080,539
9,512,AWQ,length,GPTQ,2,0,31,1784446730462392388,0,1784446695790759635,1784446730465485355,1784446695790633860,543
9,512,AWQ,length,GPTQ,2,0,27,1784446730465149416,1,1784446695790970524,1784446730465485355,1784446695790633860,539
9,512,AWQ,length,GPTQ,2,0,29,1784446730464972629,2,1784446695791179438,1784446730465485355,1784446695790633860,541
9,512,AWQ,length,GPTQ,2,0,23,1784446730464860516,3,1784446695791353852,1784446730465485355,1784446695790633860,535
9,512,AWQ,length,GPTQ,2,0,19,1784446730465091713,4,1784446695791644575,1784446730465485355,1784446695790633860,531
9,512,AWQ,length,GPTQ,2,0,24,1784446730465022102,5,1784446695791899906,1784446730465485355,1784446695790633860,536
9,512,AWQ,length,GPTQ,2,0,21,1784446730464197406,6,1784446695792256006,1784446730465485355,1784446695790633860,533
9,512,AWQ,length,GPTQ,2,0,27,1784446730464917358,7,1784446695792509134,1784446730465485355,1784446695790633860,539
10,512,GPTQ,length,AWQ,2,1,31,1784446766335780680,0,1784446731616098736,1784446766338871907,1784446731615964367,543
10,512,GPTQ,length,AWQ,2,1,27,1784446766338601087,1,1784446731616342668,1784446766338871907,1784446731615964367,539
10,512,GPTQ,length,AWQ,2,1,29,1784446766338392739,2,1784446731616587443,1784446766338871907,1784446731615964367,541
10,512,GPTQ,length,AWQ,2,1,23,1784446766338474893,3,1784446731616866238,1784446766338871907,1784446731615964367,535
10,512,GPTQ,length,AWQ,2,1,19,1784446766338076370,4,1784446731617255684,1784446766338871907,1784446731615964367,531
10,512,GPTQ,length,AWQ,2,1,24,1784446766337852372,5,1784446731617471729,1784446766338871907,1784446731615964367,536
10,512,GPTQ,length,AWQ,2,1,21,1784446766338539296,6,1784446731617676282,1784446766338871907,1784446731615964367,533
10,512,GPTQ,length,AWQ,2,1,27,1784446766338020370,7,1784446731617986739,1784446766338871907,1784446731615964367,539
10,512,GPTQ,length,GPTQ,2,0,31,1784446766240882255,0,1784446731466161665,1784446766244191694,1784446731466008272,543
10,512,GPTQ,length,GPTQ,2,0,27,1784446766243805242,1,1784446731466443144,1784446766244191694,1784446731466008272,539
10,512,GPTQ,length,GPTQ,2,0,29,1784446766243689585,2,1784446731466695775,1784446766244191694,1784446731466008272,541
10,512,GPTQ,length,GPTQ,2,0,23,1784446766243431143,3,1784446731466924362,1784446766244191694,1784446731466008272,535
10,512,GPTQ,length,GPTQ,2,0,19,1784446766243170913,4,1784446731467185948,1784446766244191694,1784446731466008272,531
10,512,GPTQ,length,GPTQ,2,0,24,1784446766243359026,5,1784446731467454482,1784446766244191694,1784446731466008272,536
10,512,GPTQ,length,GPTQ,2,0,21,1784446766243611917,6,1784446731467824395,1784446766244191694,1784446731466008272,533
10,512,GPTQ,length,GPTQ,2,0,27,1784446766243876196,7,1784446731468079579,1784446766244191694,1784446731466008272,539
