epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784446508514661540,0,55009,30,2400,14001,0,0
1784446508514661540,1,63833,33,2400,13801,0,0
1784446508564659311,0,55009,30,2400,14001,0,0
1784446508564659311,1,63833,33,2400,13801,0,0
1784446508614658641,0,55009,30,2400,14001,0,0
1784446508614658641,1,63833,33,2400,13801,0,0
1784446508664659576,0,55009,30,2400,14001,0,0
1784446508664659576,1,63833,33,2400,13801,0,0
1784446508714661321,0,55009,30,2400,14001,0,0
1784446508714661321,1,63833,33,2400,13801,0,0
1784446508764660189,0,55009,30,2400,14001,0,0
1784446508764660189,1,63833,33,2400,13801,0,0
1784446508814659860,0,55009,30,2400,14001,0,0
1784446508814659860,1,63833,33,2400,13801,0,0
1784446508864658677,0,55009,30,2400,14001,0,0
1784446508864658677,1,63365,33,2400,13801,0,0
1784446508914659375,0,55009,30,2400,14001,0,0
1784446508914659375,1,63365,33,2400,13801,0,0
1784446508964662759,0,55009,30,2400,14001,0,0
1784446508964662759,1,63365,33,2400,13801,0,0
1784446509014660199,0,54721,30,2400,14001,0,0
1784446509014660199,1,63365,33,2400,13801,0,0
1784446509064660133,0,54721,30,2400,14001,0,0
1784446509064660133,1,63365,33,2400,13801,0,0
1784446509114696408,0,54721,30,2400,14001,0,0
1784446509114696408,1,63365,33,2400,13801,0,0
1784446509164670413,0,54721,30,2400,14001,0,0
1784446509164670413,1,63365,33,2400,13801,0,0
1784446509214661432,0,54721,30,2400,14001,0,0
1784446509214661432,1,63365,33,2400,13801,0,0
1784446509264661901,0,54721,30,2400,14001,0,0
1784446509264661901,1,63365,33,2400,13801,0,0
1784446509314663558,0,54721,30,2400,14001,0,0
1784446509314663558,1,63365,33,2400,13801,0,0
1784446509364659873,0,54721,30,2400,14001,0,0
1784446509364659873,1,46497,32,457,810,0,0
1784446509414659937,0,54721,30,2400,14001,0,0
1784446509414659937,1,46497,32,457,810,0,0
1784446509464664299,0,54721,30,2400,14001,0,0
1784446509464664299,1,46497,32,457,810,0,0
1784446509514659239,0,54721,30,2400,14001,0,0
1784446509514659239,1,46497,32,457,810,0,0
1784446509564660180,0,54721,30,2400,14001,0,0
1784446509564660180,1,46497,32,457,810,0,0
1784446509614677576,0,54721,30,2400,14001,0,0
1784446509614677576,1,46497,32,457,810,0,0
1784446509664663922,0,54721,30,2400,14001,0,0
1784446509664663922,1,46497,32,457,810,0,0
1784446509714661533,0,54721,30,2400,14001,0,0
1784446509714661533,1,46497,32,457,810,0,0
1784446509764661890,0,54721,30,2400,14001,0,0
1784446509764661890,1,46497,32,457,810,0,0
1784446509814661393,0,54721,30,2400,14001,0,0
1784446509814661393,1,46497,32,457,810,0,0
1784446509864661050,0,54721,30,2400,14001,0,0
1784446509864661050,1,25051,32,367,810,0,0
1784446509914660628,0,54721,30,2400,14001,0,0
1784446509914660628,1,25051,32,367,810,0,0
1784446509964662041,0,54721,30,2400,14001,0,0
1784446509964662041,1,25051,32,367,810,0,0
1784446510014661720,0,49565,29,2400,810,0,0
1784446510014661720,1,25051,32,367,810,0,0
1784446510064662055,0,49565,29,2400,810,0,0
1784446510064662055,1,25051,32,367,810,0,0
1784446510114663287,0,49565,29,2400,810,0,0
1784446510114663287,1,25051,32,367,810,0,0
1784446510164660717,0,49565,29,2400,810,0,0
1784446510164660717,1,25051,32,367,810,0,0
1784446510214661884,0,49565,29,2400,810,0,0
1784446510214661884,1,25051,32,367,810,0,0
1784446510264670501,0,49565,29,2400,810,0,0
1784446510264670501,1,25051,32,367,810,0,0
1784446510314661235,0,49565,29,2400,810,0,0
1784446510314661235,1,25051,32,367,810,0,0
1784446510364659896,0,49565,29,2400,810,0,0
1784446510364659896,1,25051,32,367,810,0,0
1784446510414663570,0,49565,29,2400,810,0,0
1784446510414663570,1,25051,32,367,810,0,0
1784446510464659165,0,49565,29,2400,810,0,0
1784446510464659165,1,25051,32,367,810,0,0
1784446510514658548,0,49565,29,2400,810,0,0
1784446510514658548,1,25051,32,367,810,0,0
1784446510564659078,0,49565,29,2400,810,0,0
1784446510564659078,1,25051,32,367,810,0,0
1784446510614660679,0,49565,29,2400,810,0,0
1784446510614660679,1,25051,32,367,810,0,0
1784446510664660961,0,49565,29,2400,810,0,0
1784446510664660961,1,25051,32,367,810,0,0
1784446510714660009,0,49565,29,2400,810,0,0
1784446510714660009,1,25051,32,367,810,0,0
1784446510764659025,0,49565,29,2400,810,0,0
1784446510764659025,1,25051,32,367,810,0,0
1784446510814661342,0,49565,29,2400,810,0,0
1784446510814661342,1,25051,32,367,810,0,0
1784446510864660750,0,49565,29,2400,810,0,0
1784446510864660750,1,20449,31,210,405,0,0
1784446510914658923,0,49565,29,2400,810,0,0
1784446510914658923,1,20449,31,210,405,0,0
1784446510964658691,0,49565,29,2400,810,0,0
1784446510964658691,1,20449,31,210,405,0,0
1784446511014661605,0,14216,28,330,810,0,0
1784446511014661605,1,20449,31,210,405,0,0
1784446511064660490,0,14216,28,330,810,0,0
1784446511064660490,1,20449,31,210,405,0,0
1784446511114659170,0,14216,28,330,810,0,0
1784446511114659170,1,20449,31,210,405,0,0
1784446511164659169,0,14216,28,330,810,0,0
1784446511164659169,1,20449,31,210,405,0,0
1784446511214660745,0,14216,28,330,810,0,0
1784446511214660745,1,20449,31,210,405,0,0
1784446511264658355,0,14216,28,330,810,0,0
1784446511264658355,1,20449,31,210,405,0,0
1784446511314659046,0,14216,28,330,810,0,0
1784446511314659046,1,20449,31,210,405,0,0
1784446511364658720,0,14216,28,330,810,0,0
1784446511364658720,1,20449,31,210,405,0,0
1784446511414659435,0,14216,28,330,810,0,0
1784446511414659435,1,20449,31,210,405,0,0
1784446511464660947,0,14216,28,330,810,0,0
1784446511464660947,1,20449,31,210,405,0,0
1784446511514672900,0,14216,28,330,810,0,0
1784446511514672900,1,20449,31,210,405,0,0
1784446511564661695,0,14216,28,330,810,0,0
1784446511564661695,1,20449,31,210,405,0,0
1784446511614661421,0,14216,28,330,810,0,0
1784446511614661421,1,20449,31,210,405,0,0
1784446511664659518,0,14216,28,330,810,0,0
1784446511664659518,1,20449,31,210,405,0,0
1784446511714660287,0,14216,28,330,810,0,0
1784446511714660287,1,20449,31,210,405,0,0
1784446511764659217,0,14216,28,330,810,0,0
1784446511764659217,1,20449,31,210,405,0,0
1784446511814658579,0,14216,28,330,810,0,0
1784446511814658579,1,20449,31,210,405,0,0
1784446511864662720,0,14216,28,330,810,0,0
1784446511864662720,1,19185,31,180,405,0,0
1784446511914660831,0,14216,28,330,810,0,0
